CaseID,B3,ND2,ppethm,ppeduc5,GH1,B7_a,weight_pop,worse_off
364,2,3,1,4,2,3,9118.3914,1
365,2,3,1,5,2,3,14140.9356,1
366,5,3,1,2,3,3,16391.8927,0
367,3,3,5,1,3,2,17215.9803,0
368,4,5,2,2,2,3,33035.7919,0
369,3,3,1,2,3,2,14152.9194,0
370,3,3,1,4,4,3,13900.4068,0
371,3,2,1,3,2,3,12233.8219,0
372,3,3,1,3,2,2,13965.5005,0
373,3,3,4,5,1,2,8840.1091,0
374,3,2,2,2,3,2,49239.5487,0
375,4,3,2,5,1,3,26467.5892,0
376,2,3,1,2,2,3,29155.6554,1
377,2,3,1,5,1,4,14001.9772,1
378,3,2,1,3,2,3,16705.3888,0
380,2,3,1,3,3,2,23413.66,1
381,3,3,1,5,1,3,15092.0511,0
382,3,3,1,1,1,2,19818.4677,0
383,5,3,1,5,3,1,15501.4887,0
384,2,3,1,4,2,3,14140.9356,1
385,3,3,2,4,1,2,16899.1825,0
386,2,3,4,4,2,2,15978.5584,1
387,2,3,1,2,2,2,22142.6835,1
388,3,2,1,2,1,2,34885.8981,0
389,3,3,1,3,1,2,18393.4481,0
390,3,3,1,3,2,1,19689.1633,0
391,3,3,1,4,4,3,15882.4633,0
392,4,3,1,2,2,1,22181.6458,0
393,5,3,1,2,1,1,19284.4019,0
394,3,1,1,3,3,2,19475.5771,0
395,2,1,4,5,3,2,22438.3553,1
396,3,3,1,3,1,2,26326.1987,0
397,3,2,1,5,1,2,10305.5614,0
398,1,3,1,5,2,1,10305.5614,1
399,2,3,1,4,2,3,19152.5501,1
400,2,3,1,4,2,3,10857.7405,1
401,3,3,1,3,2,2,14305.0933,0
402,3,2,1,5,1,2,15321.6202,0
403,1,3,1,3,2,3,20089.3827,1
404,3,3,1,3,1,3,42377.3402,0
405,3,3,3,3,3,1,24075.7338,0
406,3,3,1,3,1,3,25043.4142,0
407,3,3,1,4,1,2,16302.7652,0
408,3,3,1,3,3,2,15987.9468,0
409,2,3,1,5,2,2,12868.1023,1
410,3,3,1,5,1,3,19892.9415,0
411,2,3,1,4,2,1,16853.3823,1
